         ns       /busy_counter_tb/test/clk  /busy_counter_tb/test/clk                                       
          delta        /busy_counter_tb/test/busy               /busy_counter_tb/test/busy                   
           /busy_counter_tb/test/global_reset  /busy_counter_tb/test/global_reset                            
        /busy_counter_tb/test/game_engine_reset  /busy_counter_tb/test/game_engine_reset                     
                       /busy_counter_tb/test/busy_count         /busy_counter_tb/test/busy_count             
      0.000  +0                           U U U U     ?              U          U      U U     ? 
  16080.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  16100.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  16120.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  16140.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  16160.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  16180.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  16200.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  16220.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  16240.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  16260.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  16280.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  16300.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  16320.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  16340.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  16360.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  16380.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  16400.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  16420.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  16440.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  16460.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  16480.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  16500.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  16520.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  16540.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  16560.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  16580.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  16600.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  16620.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  16640.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  16660.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  16665.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  16680.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  16700.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  16720.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  16740.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  16760.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  16780.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  16800.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  16820.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  16840.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  16860.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  16880.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  16900.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  16920.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  16940.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  16960.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  16980.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  17000.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  17020.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  17040.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  17060.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  17080.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  17100.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  17120.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  17140.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  17160.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  17170.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  17180.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  17200.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  17220.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  17240.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  17260.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  17280.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  17300.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  17320.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  17340.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  17360.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  17380.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  17400.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  17420.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  17440.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  17460.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  17480.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  17500.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  17520.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  17540.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  17560.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  17580.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  17600.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  17620.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  17640.000  +0                           0 0 0 0     ?              0          0      0 0     ? 
  17660.000  +0                           1 0 0 0     ?              1          0      0 0     ? 
  17675.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  17680.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  17700.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  17720.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  17740.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  17760.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  17780.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  17800.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  17820.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  17840.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  17860.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  17880.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  17900.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  17920.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  17940.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  17960.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  17980.000  +0                           1 0 0 1     ?              1          0      0 1     ? 
  18000.000  +0                           0 0 0 1     ?              0          0      0 1     ? 
  18000.000  +1                           0 0 0 1 5'h02              0          0      0 1 5'h02 
